File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\data\ArticleLoader.java,426,219,125,81,10,263,89,0,22,0,37,2,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\data\ItemsContract.java,496,260,142,93,15,323,78,5,29,3,36,5,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\data\ItemsDatabase.java,442,236,125,80,0,280,65,52,9,0,29,5,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\data\ItemsProvider.java,1601,745,520,335,280,688,357,10,143,1,116,3,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\data\SelectionBuilder.java,2030,852,727,450,878,535,288,36,136,12,137,5,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\data\UpdaterService.java,1124,552,343,227,201,603,161,16,71,0,64,5,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\remote\Config.java,156,78,47,31,28,85,20,0,5,0,16,0,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\remote\RemoteEndpointUtil.java,558,269,176,113,111,306,66,0,32,0,40,1,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\ui\ArticleDetailActivity.java,2279,1070,736,472,606,1088,297,15,121,1,146,3,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\ui\ArticleDetailFragment.java,3424,1638,1090,695,733,1700,469,89,208,5,208,10,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\ui\ArticleListActivity.java,1906,971,563,372,139,1198,316,5,110,2,133,0,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\ui\DividerItemDecoration.java,1279,608,405,265,282,561,230,42,77,4,78,3,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\ui\DrawInsetsFrameLayout.java,1519,694,500,325,456,569,276,21,80,4,109,2,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\ui\DynamicHeightNetworkImageView.java,313,164,87,61,0,204,58,5,18,0,26,0,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\ui\ImageLoaderHelper.java,445,220,136,88,56,263,70,0,20,0,34,0,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\ui\MaxWidthLinearLayout.java,537,280,151,105,0,331,124,0,34,4,40,2,
C:\Users\andre\Desktop\xyzreader\XYZReader\src\main\java\com\example\xyzreader\ui\ObservableScrollView.java,520,247,165,108,128,246,85,0,18,5,36,0,

Entire Project Time,=SUM(B2:B18),=SUM(C2:C18),=SUM(D2:D18),=SUM(E2:E18),=SUM(F2:F18),=SUM(G2:G18),=SUM(H2:H18),=SUM(I2:I18),=SUM(J2:J18),=SUM(K2:K18),=SUM(L2:L18),=SUM(M2:M18),
